id,full_name,age,occupation,lga,ward,street,declared_income,property_value,business_owner,sector,compliance_score,created_at
1,Christine Arnold,39,Environmental manager,Ikeja,Ward 2 Ikeja,Street 2 Ward 2 Ikeja,12011220.0,18454711.05,False,Transport,67.84,2025-12-12
2,Alex Williams,66,"Teacher, music",Ikeja,Ward 2 Ikeja,Street 10 Ward 2 Ikeja,3828712.5,10888840.76,True,Transport,65.85,2025-04-25
3,Travis Morgan,32,"Designer, industrial/product",Ajah,Ward 1 Ajah,Street 4 Ward 1 Ajah,6469941.0,11287865.18,True,Hospitality,57.89,2020-12-15
4,Noah Anderson,68,Statistician,Ikorodu,Ward 4 Ikorodu,Street 5 Ward 4 Ikorodu,3150562.0,10479668.25,False,Tech,88.62,2024-10-06
5,Mr. Henry Robinson MD,30,Acupuncturist,Victoria Island,Ward 1 Victoria Island,Street 3 Ward 1 Victoria Island,6673020.0,11580826.2,False,Tech,89.53,2024-04-29
6,Dominic Mendoza,25,"Surveyor, planning and development",Ikorodu,Ward 2 Ikorodu,Street 9 Ward 2 Ikorodu,4035997.0,12002587.11,True,Tech,98.41,2023-08-19
7,Emily Joseph,31,Human resources officer,Victoria Island,Ward 1 Victoria Island,Street 7 Ward 1 Victoria Island,12128780.0,39516865.98,True,Transport,95.78,2022-07-13
8,Amber Jones,65,"Research officer, government",Lekki,Ward 4 Lekki,Street 6 Ward 4 Lekki,5680260.0,18006725.42,False,Real Estate,55.1,2023-01-07
9,Clifford Russell,25,"Education officer, community",Victoria Island,Ward 1 Victoria Island,Street 4 Ward 1 Victoria Island,15983552.0,41799768.91,False,Hospitality,86.66,2021-09-10
10,Dawn Rogers,65,Pathologist,Ikeja,Ward 3 Ikeja,Street 6 Ward 3 Ikeja,9617877.5,38150316.63,False,Finance,48.34,2024-09-20
11,Michael Clark,39,Land,Ajah,Ward 4 Ajah,Street 7 Ward 4 Ajah,4113546.0,9788878.33,False,Manufacturing,59.02,2024-10-07
12,Justin Lopez,48,"Editor, commissioning",Victoria Island,Ward 3 Victoria Island,Street 7 Ward 3 Victoria Island,4544692.0,7205116.45,True,Tech,54.71,2025-04-05
13,Scott Santiago,62,Quality manager,Mushin,Ward 3 Mushin,Street 10 Ward 3 Mushin,472419.0,1548336.9,False,Hospitality,74.98,2020-12-03
14,Betty Lopez,61,Psychiatrist,Badagry,Ward 1 Badagry,Street 4 Ward 1 Badagry,2137011.0,4928015.75,True,Retail,83.89,2023-11-04
15,Frank Sexton Jr.,69,"Nurse, mental health",Epe,Ward 1 Epe,Street 4 Ward 1 Epe,5835352.5,9107965.8,True,Retail,80.76,2021-10-03
16,Brandon Holmes,57,Hospital doctor,Ikorodu,Ward 4 Ikorodu,Street 9 Ward 4 Ikorodu,2743819.0,5930162.58,False,Manufacturing,81.12,2023-07-17
17,Edward Buck,46,Civil Service fast streamer,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 1 Ward 4 Ifako-Ijaiye,4521870.0,14373614.25,False,Transport,62.49,2023-07-11
18,Ryan Young,65,Social worker,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 5 Ward 4 Amuwo-Odofin,7290235.5,18312419.84,False,Transport,81.78,2021-12-31
19,Barbara Horn,46,Broadcast engineer,Surulere,Ward 5 Surulere,Street 4 Ward 5 Surulere,6756546.0,20207540.99,True,Real Estate,97.28,2022-02-03
20,Jasmine Castro,45,Paediatric nurse,Epe,Ward 3 Epe,Street 9 Ward 3 Epe,1904121.0,4402783.42,True,Retail,60.68,2025-06-30
21,Mike Cruz,68,"Designer, blown glass/stained glass",Alimosho,Ward 5 Alimosho,Street 5 Ward 5 Alimosho,3573224.0,9817287.93,True,Tech,65.52,2020-10-15
22,Terri Lester,63,Public affairs consultant,Yaba,Ward 3 Yaba,Street 1 Ward 3 Yaba,3471554.0,11142379.36,False,Retail,40.79,2024-12-05
23,Melissa Mccall,58,Midwife,Badagry,Ward 2 Badagry,Street 7 Ward 2 Badagry,5508609.0,20273474.1,False,Tech,81.04,2025-09-27
24,Amanda Williams,34,Science writer,Ikorodu,Ward 2 Ikorodu,Street 5 Ward 2 Ikorodu,3388523.0,12672433.18,False,Tech,90.59,2025-02-02
25,James Summers,34,Politician's assistant,Surulere,Ward 5 Surulere,Street 5 Ward 5 Surulere,1234782.0,4696068.75,False,Finance,82.34,2021-07-22
26,Matthew Ellis,47,Meteorologist,Ajah,Ward 4 Ajah,Street 10 Ward 4 Ajah,6542467.5,25798627.21,False,Tech,97.44,2021-05-01
27,Jamie Fisher,46,Geophysicist/field seismologist,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 8 Ward 3 Ifako-Ijaiye,5351205.0,15921664.34,False,Finance,78.16,2020-03-19
